Host Name,OS,OS - EOL RATING,LOCATION,REGION,System Classification,Applications / Business Processes / functions ,APPLICATION,"VBP, DR, or SLA",Brand,Model,Type / Product #,Serial Number,MODEL - EOL RATING,MODEL,Location Address,Location,,APPLICATION,APPLICATION
5,ESX 5.0,SUNSET,NL - Meppel,EUTD,Production,ESXi Host Server,#N/A,GOLD,HP,Proliant DL380p G8,,CZ23030NNH      ,MAINSTREAM,DL380P G8,Astellas Pharma Europe B.V. Hogemaat 2 7940 AA Meppel,Netherlands / AA Meppel,,#N/A,#N/A
AP1UXSA01,SUSE 11,MAINSTREAM,IBM Makuhari DC,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,,#N/A,#N/A
APIDDI01,CentOS 6.5,MAINSTREAM,IBM Makuhari DC,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,,#N/A,#N/A
APITSR06,CENTOS,MAINSTREAM,JP -Tsukuba,API,Production,,#N/A,,,,,,EXIT,DL360 G4p,,,,#N/A,#N/A
APIU1051,RHEL 6.4,MAINSTREAM,IBM Makuhari DC,API,Production,,#N/A,,,,,,MAINSTREAM,DL380p G8,,,,#N/A,#N/A
APIU1052,RHEL 6.4,MAINSTREAM,IBM Makuhari DC,API,Production,,#N/A,,,,,,MAINSTREAM,DL380p G8,,,,#N/A,#N/A
APIU1061,RHEL 6.4,MAINSTREAM,IBM Makuhari DC,API,Production,,#N/A,,,,,,MAINSTREAM,DL380p G8,,,,#N/A,#N/A
APIU1062,RHEL 6.4,MAINSTREAM,IBM Makuhari DC,API,Production,,#N/A,,,,,,MAINSTREAM,DL380p G8,,,,#N/A,#N/A
APIUVCAS010,Ubuntu,MAINSTREAM,IBM Makuhari DC,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,,#N/A,#N/A
APIUXES1 ESM,GNU/LINUX 2.4.21,MAINSTREAM,JP - Kashima,API,Production,,#N/A,,,,,,EXIT,DL360 G3,,,,#N/A,#N/A
APIUXMV5,HP-UX 11i v3(B.11.31),MAINSTREAM,IBM Makuhari DC,API,Production,,#N/A,,,,,,MAINSTREAM,Integrity rx2800i2,,,,#N/A,#N/A
APIUXMV6,HP-UX 11i v3(B.11.31),MAINSTREAM,IBM Makuhari DC,API,Production,,#N/A,,,,,,MAINSTREAM,Integrity rx2800i2,,,,#N/A,#N/A
APIUXMV7,HP-UX 11i v3(B.11.31),MAINSTREAM,IBM Nanko DC,API,Pre-Production,,#N/A,,,,,,MAINSTREAM,Integrity rx2800i2,,,,#N/A,#N/A
APIUXMV8,HP-UX 11i v3(B.11.31),MAINSTREAM,IBM Nanko DC,API,Pre-Production,,#N/A,,,,,,MAINSTREAM,Integrity rx2800i2,,,,#N/A,#N/A
APIUXNP0,RHEL 6.5,MAINSTREAM,IBM Makuhari DC,API,Production,,#N/A,,,,,,MAINSTREAM,DL360e G8,,,,#N/A,#N/A
APIUXNP1,RHEL 6.5,MAINSTREAM,IBM Makuhari DC,API,Production,,#N/A,,,,,,MAINSTREAM,DL360e G8,,,,#N/A,#N/A
APIUXNP2,RHEL 6.5,MAINSTREAM,IBM Makuhari DC,API,Production,,#N/A,,,,,,MAINSTREAM,DL360e G8,,,,#N/A,#N/A
APIUXSA02,SUSE 11,MAINSTREAM,IBM Makuhari DC,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,,#N/A,#N/A
APIUXSA03,SUSE 11,MAINSTREAM,IBM Makuhari DC,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,,#N/A,#N/A
